iter	Passed	Remaining
300	4404	10229
301	4417	10209
302	4433	10198
303	4446	10180
304	4463	10169
305	4477	10154
306	4489	10133
307	4503	10118
308	4516	10099
309	4530	10083
310	4544	10068
311	4558	10052
312	4575	10042
313	4595	10039
314	4610	10025
315	4624	10009
316	4635	9987
317	4650	9973
318	4662	9952
319	4675	9936
320	4688	9917
321	4702	9901
322	4714	9881
323	4728	9864
324	4742	9849
325	4754	9830
326	4769	9815
327	4780	9793
328	4795	9779
329	4806	9759
330	4821	9745
331	4834	9726
332	4852	9719
333	4869	9710
334	4882	9692
335	4896	9677
336	4909	9658
337	4925	9647
338	4941	9634
339	4953	9615
340	4968	9602
341	4980	9582
342	4995	9569
343	5007	9549
344	5021	9533
345	5036	9519
346	5049	9501
347	5063	9485
348	5076	9468
349	5090	9453
350	5102	9434
351	5119	9424
352	5133	9409
353	5145	9390
354	5160	9375
355	5172	9357
356	5188	9344
357	5200	9325
358	5215	9311
359	5227	9293
360	5243	9281
361	5260	9270
362	5272	9252
363	5287	9237
364	5298	9218
365	5314	9205
366	5327	9188
367	5340	9171
368	5355	9158
369	5369	9142
370	5386	9131
371	5398	9113
372	5414	9101
373	5428	9087
374	5440	9068
375	5455	9053
376	5467	9034
377	5482	9020
378	5495	9004
379	5508	8988
380	5522	8971
381	5536	8956
382	5552	8944
383	5567	8931
384	5582	8918
385	5597	8904
386	5611	8888
387	5627	8875
388	5642	8862
389	5658	8851
390	5671	8834
391	5684	8816
392	5699	8802
393	5711	8784
394	5726	8771
395	5739	8754
396	5753	8738
397	5766	8721
398	5781	8708
399	5796	8694
400	5807	8675
401	5822	8661
402	5835	8644
403	5850	8630
404	5863	8613
405	5879	8602
406	5895	8590
407	5909	8574
408	5924	8560
409	5936	8542
410	5951	8528
411	5964	8511
412	5977	8495
413	5991	8480
414	6003	8462
415	6017	8447
416	6030	8431
417	6047	8419
418	6060	8403
419	6074	8388
420	6089	8374
421	6101	8357
422	6115	8341
423	6126	8322
424	6140	8307
425	6154	8292
426	6170	8280
427	6183	8264
428	6197	8249
429	6211	8233
430	6223	8216
431	6238	8202
432	6251	8186
433	6266	8171
434	6277	8153
435	6291	8138
436	6303	8121
437	6317	8106
438	6329	8088
439	6343	8074
440	6361	8063
441	6377	8050
442	6394	8040
443	6410	8027
444	6425	8013
445	6441	8000
446	6458	7990
447	6474	7977
448	6490	7964
449	6506	7951
450	6520	7937
451	6537	7925
452	6556	7917
453	6574	7906
454	6590	7894
455	6609	7885
456	6624	7871
457	6640	7858
458	6656	7845
459	6672	7832
460	6689	7821
461	6706	7809
462	6718	7792
463	6731	7776
464	6744	7760
465	6759	7745
466	6773	7730
467	6786	7714
468	6800	7699
469	6812	7682
470	6826	7667
471	6839	7650
472	6854	7637
473	6870	7624
474	6885	7610
475	6899	7595
476	6912	7579
477	6926	7564
478	6941	7550
479	6958	7538
480	6974	7525
481	6988	7510
482	7002	7495
483	7018	7482
484	7032	7467
485	7047	7453
486	7060	7437
487	7074	7422
488	7086	7405
489	7099	7389
490	7111	7372
491	7123	7355
492	7135	7338
493	7150	7323
494	7162	7307
495	7175	7291
496	7193	7280
497	7205	7263
498	7218	7247
499	7231	7231
500	7245	7217
501	7258	7200
502	7275	7188
503	7293	7177
504	7305	7160
505	7318	7144
506	7331	7128
507	7346	7115
508	7361	7100
509	7375	7086
510	7390	7072
511	7403	7056
512	7417	7041
513	7429	7024
514	7444	7011
515	7457	6994
516	7470	6979
517	7485	6964
518	7497	6948
519	7513	6935
520	7528	6922
521	7543	6907
522	7557	6892
523	7569	6876
524	7583	6861
525	7596	6845
526	7610	6830
527	7622	6814
528	7637	6799
529	7649	6783
530	7663	6768
531	7675	6752
532	7689	6737
533	7710	6728
534	7722	6711
535	7735	6696
536	7748	6680
537	7763	6666
538	7776	6651
539	7789	6635
540	7803	6620
541	7816	6604
542	7830	6590
543	7843	6574
544	7858	6560
545	7871	6545
546	7886	6531
547	7900	6516
548	7912	6500
549	7927	6486
550	7941	6471
551	7955	6456
552	7968	6440
553	7982	6426
554	7994	6409
555	8008	6395
556	8022	6380
557	8036	6365
558	8051	6351
559	8063	6335
560	8078	6321
561	8089	6304
562	8108	6293
563	8122	6279
564	8134	6262
565	8148	6248
566	8161	6232
567	8176	6218
568	8189	6203
569	8203	6188
570	8219	6175
571	8235	6161
572	8249	6147
573	8262	6131
574	8277	6117
575	8289	6101
576	8302	6086
577	8314	6070
578	8327	6055
579	8344	6042
580	8358	6027
581	8372	6013
582	8385	5998
583	8400	5983
584	8412	5968
585	8425	5952
586	8437	5936
587	8449	5920
588	8463	5906
589	8477	5891
590	8495	5879
591	8514	5867
592	8527	5852
593	8542	5838
594	8554	5823
595	8569	5809
596	8582	5793
597	8596	5779
598	8610	5764
599	8622	5748
600	8637	5734
601	8649	5718
602	8664	5704
603	8677	5689
604	8691	5674
605	8703	5658
606	8717	5644
607	8735	5631
608	8748	5616
609	8763	5602
610	8773	5586
611	8787	5571
612	8800	5555
613	8814	5541
614	8826	5525
615	8844	5513
616	8859	5499
617	8870	5483
618	8885	5468
619	8900	5455
620	8915	5441
621	8929	5426
622	8942	5411
623	8957	5397
624	8969	5381
625	8983	5367
626	8996	5351
627	9010	5337
628	9022	5321
629	9038	5308
630	9052	5293
631	9065	5278
632	9080	5264
633	9092	5248
634	9107	5235
635	9120	5219
636	9133	5204
637	9145	5189
638	9160	5175
639	9174	5160
640	9187	5145
641	9199	5130
642	9213	5115
643	9228	5101
644	9239	5085
645	9258	5073
646	9273	5059
647	9287	5044
648	9304	5032
649	9316	5016
650	9333	5003
651	9346	4988
652	9358	4972
653	9371	4958
654	9385	4943
655	9400	4929
656	9413	4914
657	9427	4900
658	9440	4885
659	9454	4870
660	9469	4856
661	9482	4841
662	9499	4828
663	9511	4813
664	9526	4799
665	9540	4784
666	9553	4769
667	9567	4755
668	9581	4740
669	9596	4726
670	9609	4711
671	9623	4697
672	9635	4681
673	9649	4667
674	9662	4652
675	9674	4637
676	9694	4625
677	9706	4609
678	9720	4595
679	9733	4580
680	9749	4566
681	9764	4553
682	9777	4538
683	9793	4524
684	9805	4508
685	9821	4495
686	9835	4480
687	9848	4466
688	9863	4452
689	9875	4436
690	9889	4422
691	9903	4408
692	9917	4393
693	9930	4378
694	9943	4363
695	9956	4348
696	9968	4333
697	9984	4319
698	9998	4305
699	10014	4291
700	10026	4276
701	10040	4262
702	10054	4247
703	10066	4232
704	10081	4218
705	10094	4203
706	10111	4190
707	10123	4175
708	10136	4160
709	10149	4145
710	10163	4130
711	10177	4116
712	10189	4101
713	10203	4087
714	10215	4071
715	10229	4057
716	10242	4042
717	10255	4027
718	10269	4013
719	10285	3999
720	10299	3985
721	10312	3970
722	10328	3957
723	10340	3941
724	10353	3927
725	10366	3912
726	10381	3898
727	10393	3883
728	10406	3868
729	10421	3854
730	10433	3839
731	10448	3825
732	10462	3811
733	10479	3797
734	10491	3782
735	10508	3769
736	10523	3755
737	10535	3740
738	10550	3726
739	10564	3711
740	10579	3697
741	10591	3682
742	10604	3667
743	10617	3653
744	10630	3638
745	10643	3624
746	10656	3609
747	10671	3595
748	10683	3580
749	10697	3565
750	10709	3550
751	10723	3536
752	10736	3521
753	10749	3507
754	10761	3492
755	10775	3477
756	10791	3464
757	10806	3449
758	10819	3435
759	10832	3420
760	10846	3406
761	10860	3391
762	10873	3377
763	10888	3363
764	10903	3349
765	10917	3335
766	10929	3320
767	10942	3305
768	10955	3290
769	10969	3276
770	10985	3263
771	11001	3249
772	11015	3234
773	11028	3220
774	11042	3205
775	11054	3191
776	11069	3176
777	11083	3162
778	11095	3147
779	11107	3132
780	11120	3118
781	11134	3104
782	11146	3089
783	11161	3075
784	11173	3060
785	11187	3046
786	11200	3031
787	11213	3016
788	11228	3002
789	11241	2988
790	11258	2974
791	11273	2960
792	11295	2948
793	11314	2935
794	11332	2922
795	11349	2908
796	11368	2895
797	11386	2882
798	11401	2868
799	11414	2853
800	11431	2840
801	11447	2826
802	11464	2812
803	11480	2798
804	11495	2784
805	11511	2770
806	11528	2757
807	11543	2742
808	11559	2729
809	11576	2715
810	11590	2701
811	11607	2687
812	11624	2673
813	11636	2659
814	11651	2644
815	11663	2630
816	11677	2615
817	11690	2601
818	11704	2586
819	11721	2573
820	11734	2558
821	11750	2544
822	11763	2529
823	11778	2515
824	11791	2501
825	11805	2486
826	11818	2472
827	11834	2458
828	11849	2444
829	11861	2429
830	11876	2415
831	11889	2400
832	11942	2394
833	11994	2387
834	12008	2372
835	12023	2358
836	12035	2343
837	12050	2329
838	12063	2314
839	12076	2300
840	12089	2285
841	12104	2271
842	12119	2257
843	12132	2242
844	12146	2228
845	12157	2213
846	12170	2198
847	12184	2184
848	12197	2169
849	12212	2155
850	12224	2140
851	12238	2125
852	12251	2111
853	12266	2097
854	12280	2082
855	12294	2068
856	12305	2053
857	12320	2039
858	12338	2025
859	12350	2010
860	12364	1996
861	12377	1981
862	12393	1967
863	12408	1953
864	12422	1938
865	12437	1924
866	12449	1909
867	12463	1895
868	12475	1880
869	12489	1866
870	12502	1851
871	12516	1837
872	12534	1823
873	12548	1809
874	12562	1794
875	12575	1780
876	12590	1765
877	12604	1751
878	12616	1736
879	12631	1722
880	12644	1707
881	12659	1693
882	12672	1679
883	12687	1664
884	12699	1650
885	12712	1635
886	12726	1621
887	12738	1606
888	12752	1592
889	12766	1577
890	12782	1563
891	12794	1549
892	12808	1534
893	12823	1520
894	12835	1505
895	12852	1491
896	12865	1477
897	12881	1463
898	12892	1448
899	12906	1434
900	12919	1419
901	12936	1405
902	12953	1391
903	12967	1377
904	12982	1362
905	12995	1348
906	13007	1333
907	13023	1319
908	13036	1305
909	13049	1290
910	13061	1276
911	13077	1261
912	13089	1247
913	13103	1232
914	13115	1218
915	13129	1203
916	13143	1189
917	13156	1175
918	13173	1161
919	13186	1146
920	13199	1132
921	13211	1117
922	13226	1103
923	13242	1089
924	13258	1075
925	13273	1060
926	13286	1046
927	13300	1031
928	13315	1017
929	13330	1003
930	13345	989
931	13359	974
932	13377	960
933	13394	946
934	13408	932
935	13422	917
936	13436	903
937	13448	888
938	13463	874
939	13477	860
940	13491	845
941	13502	831
942	13517	817
943	13528	802
944	13544	788
945	13558	773
946	13572	759
947	13587	745
948	13600	730
949	13616	716
950	13629	702
951	13643	687
952	13657	673
953	13670	659
954	13684	644
955	13697	630
956	13714	616
957	13726	601
958	13745	587
959	13760	573
960	13772	558
961	13786	544
962	13797	530
963	13812	515
964	13823	501
965	13837	487
966	13849	472
967	13863	458
968	13879	444
969	13893	429
970	13907	415
971	13920	401
972	13935	386
973	13953	372
974	13965	358
975	13980	343
976	13991	329
977	14005	315
978	14018	300
979	14032	286
980	14044	272
981	14058	257
982	14071	243
983	14083	229
984	14097	214
985	14109	200
986	14123	186
987	14136	171
988	14152	157
989	14166	143
990	14181	128
991	14195	114
992	14209	100
993	14225	85
994	14237	71
995	14251	57
996	14263	42
997	14277	28
998	14292	14
999	14304	0
