iter	Passed	Remaining
0	18	18264
1	35	17960
2	53	17913
3	74	18453
4	95	18975
5	107	17824
6	121	17238
7	138	17112
8	151	16681
9	166	16447
10	178	16093
11	193	15914
12	205	15639
13	220	15520
14	235	15464
15	248	15252
16	262	15189
17	275	15034
18	291	15061
19	304	14918
20	317	14819
21	333	14820
22	346	14713
23	360	14655
24	372	14532
25	388	14547
26	409	14757
27	421	14639
28	436	14625
29	449	14526
30	466	14589
31	482	14587
32	494	14490
33	509	14477
34	523	14423
35	540	14464
36	556	14488
37	570	14439
38	585	14430
39	602	14449
40	617	14451
41	635	14498
42	651	14499
43	665	14460
44	682	14474
45	694	14401
46	709	14383
47	724	14363
48	737	14305
49	752	14293
50	764	14233
51	780	14230
52	793	14174
53	808	14161
54	826	14206
55	839	14152
56	854	14133
57	866	14066
58	881	14058
59	897	14063
60	910	14014
61	925	14009
62	938	13963
63	953	13948
64	969	13952
65	984	13927
66	1000	13933
67	1013	13895
68	1028	13880
69	1043	13869
70	1057	13836
71	1073	13830
72	1086	13795
73	1100	13769
74	1112	13717
75	1126	13698
76	1141	13683
77	1153	13633
78	1169	13628
79	1183	13614
80	1200	13619
81	1219	13656
82	1235	13651
83	1249	13622
84	1264	13609
85	1278	13590
86	1293	13569
87	1306	13540
88	1321	13529
89	1336	13515
90	1348	13467
91	1365	13474
92	1379	13457
93	1396	13459
94	1411	13446
95	1424	13410
96	1438	13394
97	1451	13360
98	1468	13362
99	1486	13375
100	1503	13378
101	1519	13378
102	1535	13374
103	1550	13359
104	1567	13364
105	1584	13367
106	1599	13346
107	1617	13359
108	1636	13379
109	1655	13395
110	1670	13378
111	1686	13372
112	1700	13351
113	1718	13354
114	1735	13357
115	1751	13345
116	1769	13353
117	1787	13360
118	1803	13351
119	1818	13336
120	1832	13314
121	1846	13287
122	1861	13275
123	1876	13254
124	1888	13218
125	1905	13217
126	1917	13184
127	1932	13163
128	1944	13129
129	1959	13114
130	1975	13105
131	1990	13089
132	2007	13087
133	2026	13095
134	2042	13084
135	2059	13086
136	2074	13070
137	2087	13039
138	2102	13024
139	2115	12992
140	2128	12969
141	2141	12939
142	2155	12915
143	2169	12899
144	2182	12871
145	2197	12852
146	2210	12825
147	2224	12803
148	2236	12771
149	2250	12753
150	2264	12731
151	2279	12715
152	2293	12697
153	2305	12667
154	2319	12643
155	2332	12616
156	2346	12600
157	2359	12573
158	2374	12560
159	2392	12558
160	2404	12532
161	2419	12513
162	2433	12495
163	2449	12486
164	2464	12470
165	2478	12450
166	2493	12436
167	2506	12411
168	2522	12401
169	2535	12377
170	2548	12353
171	2563	12342
172	2577	12319
173	2592	12307
174	2604	12279
175	2622	12278
176	2638	12267
177	2651	12243
178	2665	12226
179	2678	12200
180	2692	12183
181	2706	12163
182	2719	12142
183	2735	12131
184	2747	12105
185	2763	12092
186	2775	12066
187	2789	12049
188	2801	12022
189	2815	12003
190	2830	11987
191	2845	11974
192	2861	11963
193	2873	11939
194	2890	11930
195	2902	11905
196	2915	11884
197	2933	11883
198	2948	11869
199	2969	11877
200	2988	11878
201	3005	11873
202	3020	11860
203	3042	11871
204	3059	11864
205	3071	11839
206	3086	11823
207	3099	11800
208	3112	11781
209	3128	11767
210	3141	11745
211	3155	11728
212	3168	11706
213	3183	11693
214	3198	11676
215	3210	11654
216	3225	11637
217	3237	11614
218	3257	11616
219	3271	11599
220	3284	11577
221	3299	11561
222	3311	11539
223	3326	11525
224	3339	11503
225	3354	11487
226	3368	11471
227	3384	11460
228	3398	11440
229	3411	11420
230	3425	11403
231	3438	11381
232	3454	11372
233	3469	11356
234	3481	11332
235	3495	11316
236	3508	11293
237	3525	11286
238	3538	11265
239	3555	11259
240	3572	11252
241	3585	11230
242	3602	11222
243	3617	11209
244	3629	11185
245	3646	11177
246	3660	11159
247	3674	11142
248	3689	11128
249	3701	11105
250	3717	11092
251	3729	11071
252	3744	11054
253	3755	11031
254	3771	11017
255	3785	11002
256	3798	10981
257	3814	10970
258	3827	10950
259	3841	10933
260	3853	10911
261	3868	10897
262	3880	10873
263	3895	10859
264	3910	10845
265	3921	10821
266	3936	10807
267	3949	10788
268	3964	10773
269	3976	10750
270	3989	10731
271	4001	10710
272	4015	10693
273	4027	10671
274	4045	10664
275	4060	10652
276	4074	10636
277	4089	10621
278	4103	10604
279	4116	10585
280	4130	10569
281	4143	10548
282	4158	10535
283	4170	10514
284	4183	10496
285	4197	10478
286	4210	10460
287	4223	10440
288	4237	10424
289	4252	10410
290	4265	10391
291	4278	10374
292	4290	10353
293	4305	10339
294	4319	10323
295	4334	10308
296	4347	10290
297	4361	10274
298	4377	10262
299	4390	10245
